2026-09-08 10:00:57.513 Python[42699:12158833] profile function : main
2026-09-08 10:00:57.532 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.015225
2026-09-08 10:00:57.532 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.000991
2026-09-08 10:00:57.532 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001205
2026-09-08 10:00:57.532 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002309
2026-09-08 10:00:57.532 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.000991
2026-09-08 10:00:57.532 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001205
2026-09-08 10:00:57.532 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.003399
2026-09-08 10:00:57.532 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.000991
2026-09-08 10:00:57.532 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001205
2026-09-08 10:00:57.532 Python[42699:12158833] Operation: ios18.add, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001319
2026-09-08 10:00:57.532 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.015225
2026-09-08 10:00:57.532 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.000991
2026-09-08 10:00:57.532 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001205
2026-09-08 10:00:57.532 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002309
2026-09-08 10:00:57.532 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.000991
2026-09-08 10:00:57.533 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001205
2026-09-08 10:00:57.533 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.003399
2026-09-08 10:00:57.533 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.000991
2026-09-08 10:00:57.533 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001205
2026-09-08 10:00:57.533 Python[42699:12158833] Operation: ios18.add, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001319
2026-09-08 10:00:57.533 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.015225
2026-09-08 10:00:57.533 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.000991
2026-09-08 10:00:57.533 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001205
2026-09-08 10:00:57.533 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002309
2026-09-08 10:00:57.533 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.000991
2026-09-08 10:00:57.533 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001205
2026-09-08 10:00:57.533 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.003399
2026-09-08 10:00:57.533 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.000991
2026-09-08 10:00:57.533 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001205
2026-09-08 10:00:57.533 Python[42699:12158833] Operation: ios18.add, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.001319
2026-09-08 10:00:57.533 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002369
2026-09-08 10:00:57.533 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.000991
